user_id,social_media_followers_count,social_follower_cat,talent_categories,status,manager_id,interviewed_date,signed_date,int_sign_duration,active,source,sent,inserted_date_pst,age,age_group,state,country,gender,followers_count,video_int_dur,firework_follower_cat,time_zone,lat,long,potential,categories_count,first_category,second_category,third_category,fourth_category,fifth_category
1050,853,<1000,null,not_interested,47,4/2/18,,,0,instagram,0,4/5/18,27,25-34,California,US,female,304,4,>200,America/Los_Angeles,37.3501,-121.9854,0,,,,,,
233765,2000,1000-3000,"[""travel"", ""sport"", ""lifestyle""]",active_talent,42612,6/28/18,7/3/18,5,1,instagram,1,6/26/18,27,25-34,New York,US,male,22,-1,20-60,America/New_York,40.7391,-73.9826,0,3,travel,sport,lifestyle,,
211419,4000,3000-6000,"[""lifestyle""]",sent_contract,944,6/21/18,,,0,instagram,1,6/15/18,27,25-34,Texas,US,female,16,-6,<20,America/Chicago,32.7261,-102.6444,0,1,lifestyle,,,,
15294,,,"[""travel""]",interviewed,47,4/28/18,,,0,other,0,4/24/18,34,25-34,City of Zagreb,HR,female,58,-4,20-60,Europe/Zagreb,45.7333,15.9667,1,1,travel,,,,
275687,3518,3000-6000,"[""fashion""]",active_talent,42612,7/17/18,7/20/18,3,1,instagram,1,7/16/18,26,25-34,California,US,female,22,0,20-60,America/Los_Angeles,,,0,1,fashion,,,,
292037,946,<1000,null,active_talent,223391,7/26/18,7/29/18,3,1,instagram,1,7/23/18,35,25-34,Texas,US,male,3,1,<20,America/Chicago,32.8019,-96.7884,0,,,,,,
198922,3000,1000-3000,"[""lifestyle""]",sent_contract,103328,6/12/18,,,0,instagram,1,6/9/18,22,18-24,California,US,female,3,0,<20,America/Los_Angeles,32.8897,-117.1336,0,1,lifestyle,,,,
134193,2000000,>20000,"[""lifestyle""]",sent_contract,15253,6/10/18,,,0,instagram,1,5/19/18,32,25-34,California,US,female,82,5,60-120,America/Los_Angeles,33.6746,-118.0086,0,1,lifestyle,,,,
254588,785,<1000,"[""performance""]",active_talent,223391,7/11/18,7/17/18,6,1,instagram,1,7/8/18,25,18-24,California,US,male,1,3,<20,America/Los_Angeles,32.8561,-116.9968,0,1,performance,,,,
279367,6808,6000-10000,"[""performance""]",sent_contract,103328,7/19/18,,,0,instagram,1,7/18/18,26,25-34,California,US,male,7,0,<20,America/Los_Angeles,34.2313,-118.1486,0,1,performance,,,,
226768,2000,1000-3000,"[""performance""]",sent_contract,944,6/26/18,,,0,instagram,1,6/20/18,26,25-34,New York,US,female,18,0,<20,America/New_York,,,0,1,performance,,,,
